Student_ID,Branch,Year,Gender,Attendance,Previous_CGPA,Internal_Marks,Assignment_Score,Study_Hours,LMS_Activity,Library_Visits,Lab_Usage,Certifications,Projects,Hackathons,Internships,Commute_Time,Backlogs,Final_CGPA,Academic_Status,Risk_Level
STU0001,EEE,3rd Year,Male,73.16,7.05,78.75,83.95,4.22,83.66,5,53.57,4,2,0,0,27.7,1,7.22,Needs Attention,Medium Risk
STU0002,Mechanical,2nd Year,Male,87.1,7.37,67.35,85.07,1.77,64.0,4,75.82,4,5,0,3,60.23,0,6.97,Needs Attention,Low Risk
STU0003,ECE,3rd Year,Male,77.89,6.26,68.43,71.11,4.41,39.87,1,73.36,3,2,0,1,65.1,0,6.52,Needs Attention,Medium Risk
STU0004,Mechanical,3rd Year,Female,78.83,8.89,57.88,77.44,2.5,43.55,2,61.32,3,3,0,1,60.31,0,7.6,Good Standing,Low Risk
STU0005,Mechanical,4th Year,Male,79.73,7.56,71.82,80.89,6.24,68.92,3,68.76,1,1,1,2,25.17,0,7.99,Good Standing,Low Risk
STU0006,CSE-AI,3rd Year,Male,85.74,8.15,67.98,72.48,4.67,59.64,5,82.98,1,4,1,2,38.46,1,7.76,Good Standing,Low Risk
STU0007,ECE,4th Year,Male,76.91,8.18,77.99,62.41,7.68,57.8,2,45.89,0,3,2,2,31.86,1,7.52,Good Standing,Low Risk
STU0008,ECE,3rd Year,Female,86.87,8.81,78.76,70.81,4.16,73.52,5,50.62,2,3,1,0,43.84,0,7.76,Good Standing,Low Risk
STU0009,ECE,3rd Year,Male,79.27,6.75,81.49,62.14,1.0,84.22,4,78.73,1,1,1,0,53.53,2,6.35,Needs Attention,High Risk
STU0010,Mechanical,3rd Year,Female,69.33,8.13,65.9,74.77,6.69,56.78,6,70.82,1,3,1,0,31.42,0,7.8,Good Standing,Low Risk
STU0011,EEE,4th Year,Female,79.63,7.48,45.88,52.63,5.25,47.11,5,68.95,3,3,0,0,21.74,0,6.67,Needs Attention,Low Risk
STU0012,ECE,4th Year,Female,69.85,9.4,80.9,78.09,5.49,57.16,4,84.14,1,2,2,2,68.33,0,7.89,Good Standing,Low Risk
STU0013,Civil,2nd Year,Female,80.41,6.75,77.17,54.42,3.0,51.3,4,80.57,3,0,4,1,59.33,1,6.46,Needs Attention,Medium Risk
STU0014,Mechanical,4th Year,Male,88.29,8.55,64.38,69.16,4.44,77.49,6,95.73,2,1,0,1,46.11,0,7.74,Good Standing,Low Risk
STU0015,CSE-AI,4th Year,Female,69.26,7.82,78.66,80.05,4.78,67.93,6,83.42,3,1,0,2,20.85,0,7.45,Needs Attention,Low Risk
STU0016,EEE,4th Year,Female,83.64,7.77,54.62,83.49,4.14,98.09,3,77.89,2,1,1,2,55.6,0,7.33,Needs Attention,Low Risk
STU0017,Civil,4th Year,Male,71.71,7.55,84.36,82.07,1.9,79.75,4,69.19,2,0,0,2,36.95,0,7.36,Needs Attention,Low Risk
STU0018,Civil,2nd Year,Male,82.02,8.71,68.0,77.84,8.65,97.02,4,67.84,3,0,0,0,5.0,0,8.75,Good Standing,Low Risk
STU0019,CSE-AI,4th Year,Female,88.6,7.74,62.05,60.57,5.75,45.54,2,69.95,2,1,0,2,30.53,0,7.35,Needs Attention,Low Risk
